window_idx,true_label,original_xgboost_score,counterfactual_perfect_score,improvement,reduction_pct
113,1,0.999943,0.999999,5.6e-05,0.01
114,0,0.005506,0.999999,0.994493,18061.95
115,0,5.5e-05,0.999999,0.999944,1817749.5
116,0,0.000123,0.999999,0.999876,812841.23
117,0,0.000108,0.999999,0.999891,925739.28
118,0,0.000361,0.999999,0.999638,276900.36
119,0,0.000144,0.999999,0.999855,694295.54
120,0,0.000144,0.999999,0.999855,694295.54
121,0,5e-05,0.999999,0.999949,1999498.1
122,0,4.3e-05,0.999999,0.999956,2324938.39
123,0,0.000351,0.999999,0.999648,284791.89
124,1,0.99915,0.999999,0.000849,0.08
125,1,0.999819,0.999999,0.00018,0.02
126,0,0.000102,0.999999,0.999897,980195.08
127,1,0.999913,0.999999,8.6e-05,0.01
128,0,0.000221,0.999999,0.999778,452367.77
129,0,0.001114,0.999999,0.998885,89665.71
130,1,0.999962,0.999999,3.7e-05,0.0
131,1,0.999825,0.999999,0.000174,0.02
132,1,0.99975,0.999999,0.00025,0.03
133,1,0.999969,0.999999,3e-05,0.0
134,1,0.999936,0.999999,6.3e-05,0.01
135,0,2.6e-05,0.999999,0.999973,3844571.32
136,0,0.000254,0.999999,0.999745,393584.9
137,1,0.997268,0.999999,0.002731,0.27
138,0,0.000318,0.999999,0.999681,314355.21
139,1,0.999926,0.999999,7.3e-05,0.01
140,1,0.999876,0.999999,0.000123,0.01
141,0,0.001101,0.999999,0.998898,90725.61
142,1,0.999207,0.999999,0.000792,0.08
143,0,0.000818,0.999999,0.999181,122147.77
144,1,0.99996,0.999999,3.9e-05,0.0
145,0,0.000259,0.999999,0.99974,385985.1
146,1,0.999786,0.999999,0.000213,0.02
147,0,0.000427,0.999999,0.999572,234086.32
148,0,0.000982,0.999999,0.999017,101731.86
149,0,0.000881,0.999999,0.999118,113405.98
150,0,0.001371,0.999999,0.998628,72838.86
151,0,4e-05,0.999999,0.999959,2499272.68
152,0,6.5e-05,0.999999,0.999934,1538123.37
153,1,0.999879,0.999999,0.00012,0.01
154,0,0.000127,0.999999,0.999872,787238.8
155,0,2.7e-05,0.999999,0.999972,3702228.8
156,0,0.000192,0.999999,0.999807,520705.69
157,0,0.000316,0.999999,0.999683,316345.37
158,1,0.99713,0.999999,0.002869,0.29
159,1,0.99993,0.999999,6.9e-05,0.01
160,0,0.057579,0.999999,0.94242,1636.74
161,0,0.00021,0.999999,0.999789,476067.33
162,0,0.000217,0.999999,0.999782,460707.8
163,1,0.999941,0.999999,5.8e-05,0.01
164,0,7.2e-05,0.999999,0.999927,1388594.64
165,0,6e-05,0.999999,0.999939,1666287.29
166,0,0.000108,0.999999,0.999891,925739.28
167,1,0.999119,0.999999,0.00088,0.09
168,0,6.9e-05,0.999999,0.99993,1448963.92
169,1,0.999913,0.999999,8.6e-05,0.01
170,1,0.99995,0.999999,4.9e-05,0.0
171,0,1.9e-05,0.999999,0.99998,5260284.06
172,1,0.99958,0.999999,0.000419,0.04
173,1,0.999797,0.999999,0.000202,0.02
174,0,0.000622,0.999999,0.999377,160668.96
175,1,0.999573,0.999999,0.000426,0.04
176,0,8.8e-05,0.999999,0.999911,1136133.39
177,0,0.000951,0.999999,0.999048,105051.26
178,0,0.000183,0.999999,0.999816,546317.69
179,0,0.000181,0.999999,0.999818,552355.12
180,0,5.3e-05,0.999999,0.999946,1886334.65
181,1,0.998612,0.999999,0.001386,0.14
182,1,0.9999,0.999999,9.9e-05,0.01
183,0,0.000217,0.999999,0.999782,460707.8
184,1,0.972645,0.999999,0.027354,2.81
185,1,0.975757,0.999999,0.024242,2.48
186,1,0.99988,0.999999,0.000119,0.01
187,0,5.1e-05,0.999999,0.999948,1960297.98
188,0,0.000388,0.999999,0.999611,257625.06
189,1,0.999561,0.999999,0.000438,0.04
190,1,0.99996,0.999999,3.9e-05,0.0
191,0,0.000256,0.999999,0.999743,390509.36
192,0,0.002233,0.999999,0.997766,44682.56
193,0,8e-05,0.999999,0.999919,1249742.53
194,0,0.00051,0.999999,0.999489,195974.39
195,0,0.019237,0.999999,0.980762,5098.31
196,0,0.007689,0.999999,0.99231,12905.56
197,0,0.000928,0.999999,0.999071,107657.35
198,0,3.6e-05,0.999999,0.999963,2776903.64
199,1,0.998816,0.999999,0.001183,0.12
200,0,0.004935,0.999999,0.995064,20163.36
201,1,0.99995,0.999999,4.9e-05,0.0
202,1,0.999844,0.999999,0.000155,0.02
203,1,0.999848,0.999999,0.000151,0.02
204,0,0.001976,0.999999,0.998023,50506.98
205,0,0.00011,0.999999,0.999889,908907.37
206,1,0.999954,0.999999,4.5e-05,0.0
207,0,0.002652,0.999999,0.997347,37607.21
208,1,0.999966,0.999999,3.3e-05,0.0
209,0,2.8e-05,0.999999,0.999971,3570049.98
210,1,0.998327,0.999999,0.001672,0.17
211,0,0.000102,0.999999,0.999897,980195.08
212,1,0.999935,0.999999,6.4e-05,0.01
213,0,7.2e-05,0.999999,0.999927,1388594.64
214,1,0.994317,0.999999,0.005682,0.57
215,1,0.999935,0.999999,6.4e-05,0.01
216,0,8.3e-05,0.999999,0.999916,1204572.94
217,1,0.999765,0.999999,0.000234,0.02
218,0,0.000571,0.999999,0.999428,175028.11
219,0,8.7e-05,0.999999,0.999912,1149192.05
220,0,0.001835,0.999999,0.998164,54395.56
221,0,0.000158,0.999999,0.999841,632770.71
222,0,0.000963,0.999999,0.999036,103740.98
223,1,0.998421,0.999999,0.001578,0.16
224,0,0.000205,0.999999,0.999794,487680.6
225,1,0.998007,0.999999,0.001992,0.2
226,0,0.000106,0.999999,0.999893,943206.3
227,1,0.99988,0.999999,0.000119,0.01
228,1,0.92655,0.999999,0.073449,7.93
229,1,0.999904,0.999999,9.5e-05,0.01
230,1,0.999918,0.999999,8.1e-05,0.01
231,0,0.000417,0.999999,0.999582,239702.17
232,1,0.999946,0.999999,5.3e-05,0.01
233,1,0.99991,0.999999,8.9e-05,0.01
234,0,0.000465,0.999999,0.999534,214948.93
235,1,0.999906,0.999999,9.3e-05,0.01
236,1,0.999957,0.999999,4.2e-05,0.0
237,0,1.6e-05,0.999999,0.999983,6245990.01
238,1,0.998878,0.999999,0.001121,0.11
239,1,0.999453,0.999999,0.000546,0.05
240,0,0.003039,0.999999,0.99696,32805.42
241,1,0.999462,0.999999,0.000537,0.05
242,1,0.999836,0.999999,0.000163,0.02
243,0,9.1e-05,0.999999,0.999908,1098679.27
244,0,5.5e-05,0.999999,0.999944,1817749.5
245,0,0.000334,0.999999,0.999665,299291.94
246,0,0.000203,0.999999,0.999796,492486.08
247,0,0.000257,0.999999,0.999742,388989.53
248,1,0.999905,0.999999,9.4e-05,0.01
249,0,0.000733,0.999999,0.999266,136323.65
250,1,0.999415,0.999999,0.000584,0.06
251,1,0.999033,0.999999,0.000966,0.1
252,1,0.999749,0.999999,0.00025,0.03
253,0,0.000233,0.999999,0.999766,429065.71
254,0,0.001987,0.999999,0.998012,50226.82
255,0,0.00022,0.999999,0.999779,454424.34
256,0,9.4e-05,0.999999,0.999905,1063615.57
257,1,0.999977,0.999999,2.2e-05,0.0
258,1,0.975216,0.999999,0.024783,2.54
259,1,0.999729,0.999999,0.00027,0.03
260,1,0.999759,0.999999,0.00024,0.02
261,0,8.6e-05,0.999999,0.999913,1162554.35
262,1,0.99996,0.999999,3.9e-05,0.0
263,0,0.000995,0.999999,0.999004,100401.4
264,0,0.008676,0.999999,0.991323,11426.02
265,1,0.999917,0.999999,8.2e-05,0.01
266,1,0.999934,0.999999,6.5e-05,0.01
267,0,0.012509,0.999999,0.98749,7894.23
268,1,0.999749,0.999999,0.00025,0.03
269,1,0.999917,0.999999,8.2e-05,0.01
270,1,0.999965,0.999999,3.4e-05,0.0
271,0,0.638734,0.999999,0.361265,56.56
272,0,0.000386,0.999999,0.999613,258960.39
273,0,0.008667,0.999999,0.991332,11437.99
274,0,0.000188,0.999999,0.999811,531786.08
275,0,0.005135,0.999999,0.994864,19374.14
276,1,0.998783,0.999999,0.001216,0.12
277,1,0.99987,0.999999,0.000129,0.01
278,1,0.999869,0.999999,0.00013,0.01
279,1,0.998528,0.999999,0.001471,0.15
280,1,0.999453,0.999999,0.000546,0.05
281,0,0.067938,0.999999,0.932061,1371.93
282,0,0.000517,0.999999,0.999482,193319.66
283,0,0.001301,0.999999,0.998698,76763.28
284,0,0.000168,0.999999,0.999831,595102.08
285,0,0.00024,0.999999,0.999759,416548.89
286,0,4e-05,0.999999,0.999959,2499272.68
287,0,0.000136,0.999999,0.999863,735139.33
288,0,0.00025,0.999999,0.999749,399883.6
289,0,0.000473,0.999999,0.999526,211311.81
